KEY_lang,English,Vietnamese,Russian,Spanish,French,Japanese,Korean,Thai,Arabic,Chinese,Portuguese,German,Italian,Indonesian,Turkish,
"s_has_new_version","The latest version is available. Please download and play!","Đã có phiên bản mới nhất. Hãy tải về chơi nhé!","Последняя версия доступна. Пожалуйста, скачайте и играйте!","La última versión está disponible. ¡Descárgalo y juega!","La dernière version est disponible. Veuillez télécharger et jouer!","最新バージョンが利用可能です。ダウンロードしてプレイしてください！","최신 버전을 사용할 수 있습니다. 다운로드하여 플레이하십시오!","เวอร์ชันล่าสุดพร้อมใช้งาน กรุณาดาวน์โหลดและเล่น!","!ﺐﻌﻠﻟاو ﻞﻴﻤﺤﺗ ﯽﺟﺮﻳ .ﺔﺣﺎﺘﻣ ﺔﺨﺴﻧ ثﺪﺣأ","最新版本可用。请下载并播放！","A versão mais recente está disponível. Faça o download e jogue!","Die neueste Version ist verfügbar. Bitte herunterladen und spielen!","L'ultima versione è disponibile. Si prega di scaricare e giocare!","Versi terbaru tersedia. Silakan unduh dan mainkan!","En son sürüm mevcut. Lütfen indirin ve oynayın!",
"s_must_update","Update the latest version to play!","Hãy cập nhật phiên bản mới nhất để chơi nhé!","Обновите последнюю версию, чтобы играть!","¡Actualiza la última versión para jugar!","Mettez à jour la dernière version pour jouer!","最新バージョンを更新してプレイしてください！","재생하려면 최신 버전을 업데이트하십시오!","อัปเดตเวอร์ชันล่าสุดเพื่อเล่น!","!ﺐﻌﻠﻟ ﺔﺨﺴﻧ ثﺪﺣأ ﺚﻳﺪﺤﺗ","更新最新版本即可播放！","Atualize a versão mais recente para jogar!","Aktualisiere die neueste Version, um zu spielen!","Aggiorna l'ultima versione per giocare!","Perbarui versi terbaru untuk dimainkan!","Oynamak için en son sürümü güncelleyin!",
"s_title_update","Application update","Cập nhật ứng dụng","Обновление приложения","Actualización de la aplicación","Mise à jour de l'application","アプリケーション更新","응용 프로그램 업데이트","การอัพเดทแอพพลิเคชั่น","ﻖﻴﺒﻄﺘﻟا ﺚﻳﺪﺤﺗ","申请更新","Atualização de aplicativo","Anwendungsaktualisierung","Aggiornamento dell'applicazione","Pembaruan aplikasi","Uygulama güncellemesi",
"ques_level_127","Click 50000","Nhấn 50000","Нажмите 50000","Haga clic en 50000","Cliquez sur 50000","クリック50000","클릭 50000","คลิก 50000","50000 قﻮﻓ ﺮﻘﻧا","点击50000","Click 50000","Klicken Sie auf 50000","Fai clic su 50000","Klik 50000","Tıklama 50000",
"hint_level_127","The secret is under the ""Click"" button. Pull that button out","Bí mật nằm dưới nút ấn có chữ ""Click"". Hãy kéo nút ấn đó ra xem sao","Секрет находится под кнопкой ""Клик"". Вытащите эту кнопку","El secreto está debajo del botón ""Hacer clic"". Tire de ese botón","Le secret se trouve sous le bouton ""Cliquer"". Tirez ce bouton vers l'extérieur","秘密は「クリック」ボタンの下にあります。そのボタンを引き出します","비밀은 ""클릭""버튼 아래에 있습니다. 그 버튼을 당겨","ความลับอยู่ภายใต้ปุ่ม "คลิก" ดึงปุ่มนั้นออก","جرﺎﺨﻠﻟ رﺰﻟا اﺬﻫ ﺐﺤﺳا .""ﺮﻘﻧا"" رز ﺖﺤﺗ ﻮﻫ ﺮﺴﻟا","秘密在""单击""按钮下。拉出那个按钮","O segredo está no botão ""Clique"". Puxe esse botão","Das Geheimnis liegt unter der Schaltfläche ""Klicken"". Ziehen Sie den Knopf heraus","Il segreto si trova sotto il pulsante ""Fai clic"". Estrarre quel pulsante","Rahasianya ada di bawah tombol ""Klik"". Tarik tombol itu keluar","Sır ""Tıkla"" düğmesinin altında. Bu düğmeyi dışarı çekin",
"tips_level_127","It's a secret!! Don't tell it to anyone, let them dial 50000 !! hahaha","Bí mật nhé!! Đừng nó với ai cả, để họ bấm đến 50000 lần nhé!! hahaha","Это секрет!! Никому не говорите, пусть наберет 50000! хахаха\n","¡¡Es un secreto!! ¡No se lo digas a nadie, déjalos marcar 50000! jajaja\n","C'est un secret!! Ne le dites à personne, laissez-les composer le 50000 !! hahaha\n","それは秘密です！！誰にも言わないで、50000をダイヤルさせてください!!ハハハ","그것은 비밀!! 아무에게도 말하지 말고 50000을 다이얼하십시오! 하하하\n","มันเป็นความลับ!! อย่าบอกใครเลยให้เขาหมุนหมายเลข 50,000 !! ฮ่าฮ่าฮ่า\n","ﺎﻫ ﺎﻫ ﺎﻫ ﺎﻫ !! 50000 ـﺑ نﻮﻠﺼﺘﻳ ﻢﻬﻋد ، ﺺﺨﺷ يﻷ ﻚﻟذ ﺮﺒﺨﺗ ﻻ !!ﺮﺳ ﻪﻧإ\n","这是秘密！不要告诉任何人，让他们拨打50000！哈哈哈\n","É um segredo!! Não conte a ninguém, deixe-os discar 50000 !! hahaha\n","Es ist ein Geheimnis!! Sagen Sie es niemandem, lassen Sie ihn 50000 wählen !! hahaha\n","È un segreto!! Non dirlo a nessuno, lasciali comporre 50000 !! Hahaha\n","Ini sebuah rahasia!! Jangan katakan itu kepada siapa pun, biarkan mereka menghubungi 50.000 !! ha ha ha\n","Bu bir sır!! Kimseye söyleme, 50000'ü çevirmelerine izin ver !! hahaha\n",
"ques_level_130","Open the chest again","Hãy mở hòm lần nữa","Откройте сундук снова\n","Abre el cofre otra vez\n","Ouvrez à nouveau le coffre\n","もう一度胸を開けて\n","가슴을 다시 열어\n","เปิดหน้าอกอีกครั้ง\n","ىﺮﺧأ ةﺮﻣ قوﺪﻨﺼﻟا ﺢﺘﻓا\n","再次打开胸部\n","Abra o baú novamente\n","Öffne die Truhe wieder\n","Apri di nuovo il baule\n","Buka peti lagi\n","Sandığı tekrar aç\n",
"hint_level_130","The key is behind the chest","Chiếc chìa khóa nằm sau cái hòm","Ключ за сундуком","La llave está detrás del cofre\n","La clé est derrière la poitrine\n","キーは胸の後ろにあります","열쇠는 가슴 뒤에 있습니다\n","กุญแจอยู่ด้านหลังหน้าอก\n","رﺪﺼﻟا ءارو حﺎﺘﻔﻤﻟا\n","钥匙在胸部后面\n","A chave está atrás do peito\n","Der Schlüssel befindet sich hinter der Brust\n","La chiave è dietro il petto\n","Kuncinya ada di belakang dada\n","Anahtar göğsün arkasında\n",
"tips_level_130","So rich !!! Hahaha","Lại giàu to rồi!!!Hahaha","Такой богатый !!! Хахаха\n","Tan rico !!! jajaja","Si riche !!! hahaha","とても裕福 ！！！ハハハ\n","너무 부자! 하하하\n","รวยจัง !!! ฮ่า ๆ ๆ ๆ\n","ﺎﻫ ﺎﻫ ﺎﻫ ﺎﻫ !!! اﺪﺟ ﻲﻨﻏ\n","太丰富了！哈哈哈\n","Tão rico !!! Hahaha\n","So reich !!! hahaha\n","Così ricco !!! Hahaha\n","Sangat kaya !!! Ha ha ha\n","Çok zengin !!! Hahaha\n",
"ques_level_101","Jump to end!","Nhảy nào","Прыгай до конца!","¡Salta hasta el final!","Sautez à la fin!","最後までジャンプ！","끝까지 점프!","ข้ามไปยังจุดสิ้นสุด!","!ﺔﻳﺎﻬﻨﻟا ﯽﺘﺣ ﺰﻔﻗا","跳到最后！","¡Salta hasta el final!","Zum Ende springen!","Vai alla fine!","Lompat ke ujung!","Sonuna atla!",
"hint_level_101","Dance very carefully to avoid all obstacles","Hãy nhảy thật cẩn thận để tránh mọi chướng ngại vật","Танцуйте очень осторожно, чтобы избежать всех препятствий","Baila con mucho cuidado para evitar todos los obstáculos.","Dansez très soigneusement pour éviter tous les obstacles","すべての障害物を避けるために非常に慎重に踊る","모든 장애물을 피하기 위해 매우 신중하게 춤을","เต้นรำอย่างระมัดระวังเพื่อหลีกเลี่ยงอุปสรรคทั้งหมด","تﺎﺒﻘﻌﻟا ﻞﻛ ﺐﻨﺠﺘﻟ ةﺪﻳﺪﺷ ﺔﻳﺎﻨﻌﺑ ﺺﻗرا","认真跳舞以避免所有障碍","Baila con mucho cuidado para evitar todos los obstáculos.","Tanzen Sie sehr vorsichtig, um alle Hindernisse zu vermeiden","Danza con molta attenzione per evitare tutti gli ostacoli","Danza con molta attenzione per evitare tutti gli ostacoli","Tüm engellerden kaçınmak için çok dikkatli dans edin",
"tips_level_101","You are so skillful!!","Bạn thật khéo léo!!","Ты такой умелый !!\n","Eres muy hábil !!\n","Tu es tellement habile !!\n","あなたはとても上手です!!","당신은 너무 능숙합니다!","คุณเก่งมาก !!\n","!اﺪﺟ ﺮﻫﺎﻣ ﺖﻧأ\n","你真熟练！！","Você é tão habilidoso !!\n","Du bist so geschickt !!","Sei così abile !!\n","Kamu sangat terampil !!\n","Çok yeteneklisin !!\n",
"ques_level_132","Kill the monster again","Hãy giết quái vật lần nữa","Убей монстра снова\n","Mata al monstruo otra vez","Tuez à nouveau le monstre","モンスターを再び殺す","몬스터를 다시 죽여라","ฆ่าสัตว์ประหลาดอีกครั้ง","ىﺮﺧأ ةﺮﻣ ﺶﺣﻮﻟا ﻞﺘﻗا\n","再次杀死怪物","Mate o monstro novamente","Töte das Monster erneut","Kill the monster again","Bunuh monster itu lagi","Canavarı tekrar öldür",
"hint_level_132","Get the eraser, clean up the monster's health bar","Hãy lấy chiếc tẩy, tẩy sạch thanh máu của con quái vật đi","Получить ластик, очистить бар здоровья монстра\n","Consigue el borrador, limpia la barra de salud del monstruo","Obtenez la gomme, nettoyez la barre de santé du monstre","消しゴムを手に入れ、モンスターのヘルスバーをクリーンアップ","지우개를 가지고 괴물의 건강 막대를 청소하십시오.","รับยางลบทำความสะอาดแถบสุขภาพของสัตว์ประหลาด","ﺶﺣﻮﻟﺎﺑ صﺎﺨﻟا ﺔﺤﺼﻟا ﻂﻳﺮﺷ ﻒﻈﻧ ، ةﺎﺤﻤﻤﻟا ﯽﻠﻋ ﻞﺼﺣا\n","获取橡皮擦，清理怪物的生命值","Pegue a borracha, limpe a barra de saúde do monstro","Holen Sie sich den Radiergummi und räumen Sie die Gesundheitsleiste des Monsters auf","Prendi la gomma, pulisci la barra della salute del mostro","Dapatkan penghapus, bersihkan bilah kesehatan monster itu","Silgi alın, canavarın sağlık çubuğunu temizleyin",
"tips_level_132","The world once again is peaceful thanks to you!","Thế giới một lần nữa được bình yên nhờ bạn!","Мир снова мирный благодаря вам!\n","¡El mundo una vez más está en paz gracias a ti!","Le monde redevient paisible grâce à vous!","世界はあなたのおかげで再び平和です！","다시 한번 세상은 당신 덕분에 평화 롭습니다!","โลกอีกครั้งคือความสงบสุขขอบคุณคุณ!","!ﻚﻠﻀﻔﺑ ﻢﻟﺎﺴﻣ ىﺮﺧأ ةﺮﻣ ﻢﻟﺎﻌﻟا\n","感谢您，世界再次和平！","O mundo mais uma vez é pacífico graças a você!","Dank dir ist die Welt wieder friedlich!","Il mondo è di nuovo pacifico grazie a te!","Dunia sekali lagi damai, terima kasih!","Dünya bir kez daha huzurlu!",
"ques_level_128","Light the candle","Hãy thắp sáng ngọn nến","Зажечь свечу","Enciende la vela","Allume la bougie","ろうそくに火をつける","촛불을 켜십시오","จุดเทียน\n","ﺔﻌﻤﺸﻟا ﻞﻌﺷا","点燃蜡烛","Acender a vela","Die Kerze anzünden","Accendi la candela","Nyalakan lilin","Mumu yak",
"hint_level_128","Zoom in on the matchbox to get the matches out","Hãy phóng to bao diêm để lấy những que diêm ra nha","Увеличьте спичечный коробок, чтобы получить спички\n","Zoom in on the matchbox to get the matches out","Zoomez sur la boîte d'allumettes pour sortir les matchs","マッチボックスを拡大してマッチを取得します\n","성냥갑을 확대하여 성냥을 꺼내십시오.","ซูมเข้าที่กลักไม้ขีดไฟเพื่อให้ได้ไม้ขีดออกมา","تﺎﻳرﺎﺒﻤﻟا جاﺮﺧﻹ بﺎﻘﺜﻟا ﺔﺒﻠﻋ ﺮﻴﺒﻜﺘﺑ ﻢﻗ\n","放大火柴盒以取出火柴","Aumente o zoom na caixa de fósforos para obter as correspondências","Vergrößern Sie die Streichholzschachtel, um die Streichhölzer herauszuholen","Ingrandisci la casella di corrispondenza per estrarre le partite","Memperbesar kotak korek api untuk mengeluarkan korek api","Maçları almak için kibrit kutusunu yakınlaştır",
"tips_level_128","Brighten!!!!","Bừng sáng!!!!","Украсьте !!!!","¡¡¡¡Aclarar!!!!","Éclairer!!!!","明るく!!!!","닦다!!!!","สีสัน !!!!","!!!!ﻊﻄﺳ\n","提亮!!!!","Brighten !!!!","Aufhellen!!!!","Illumina !!!!","Menerangi!!!!","Parlaklaştırmak !!!!",
"ques_level_129","Make this girl laugh","Hãy làm cô gái này cười","Рассмешить эту девушку\n","Haz reír a esta chica","Faites rire cette fille","この女の子を笑わせる","이 여자를 웃게 만들어","ทำให้เธอคนนี้หัวเราะ","ﻚﺤﻀﺗ ةﺎﺘﻔﻟا هﺬﻫ ﻞﻌﺟا\n","让这个女孩笑","Faça essa garota rir","Bring dieses Mädchen zum Lachen","Fai ridere questa ragazza","Buat gadis ini tertawa","Bu kızı güldür",
"hint_level_129","Take off her shoes and get her feather to tickle her! hihi","Cởi giày cô gái ra và lấy cái lông chim để cù cô ý! hihi","Сними ее туфли и заставь ее перо пощекотать ее! хихи\n","¡Quítate los zapatos y haz que su pluma le haga cosquillas! hola","Enlevez ses chaussures et faites-lui chatouiller sa plume! hihi","彼女の靴を脱いで、彼女の羽を手に入れてくすぐりましょう！ ひひ","그녀의 신발을 벗고 깃털이 그녀를 간지럽 히도록하십시오! 히히","ถอดรองเท้าแล้วขนเธอเพื่อกระตุ้นเธอ! hihi","ﺎﺒﺣﺮﻣ ﺎﺒﺣﺮﻣ !ﺎﻬﺘﻏﺪﻏﺪﻟ ﺎﻬﺸﻳر ﯽﻠﻋ ﻞﺼﺣاو ﺎﻬﺋاﺬﺣ ﻊﻠﺧ\n","脱下鞋子，让她的羽毛挠她！ 嗨","Tire os sapatos e pegue suas penas para fazer cócegas nela! oi","Zieh ihre Schuhe aus und lass ihre Feder sie kitzeln! Hihi","Togliti le scarpe e prendi la sua piuma per solleticarla! hihi","Lepaskan sepatunya dan buat bulunya menggelitiknya! hihi","Ayakkabılarını çıkar ve onu gıdıklamak için tüyünü al! hihi",
"tips_level_129","Stop it!! So funny","Dừng lại đi!! Buồn cười quá","Останови это !! Так смешно\n","¡¡Para!! Muy divertido","Arrête ça!! Si amusant","やめて！ とても面白い","멈춰!! 정말 재미있어","หยุดนะ!! ตลกมาก","اﺪﺟ ﻚﺤﻀﻣ !!ﻚﻟذ ﻦﻋ ﻒﻗﻮﺗ\n","停下来！！ 好有趣","Pare com isso !! Tão engraçado","Hör auf!! So lustig","Smettila!! Così divertente","Hentikan!! Sangat lucu","Yapma!! Çok komik",
"ques_level_131","Get the boat out of the bottle","Lấy chiếc thuyền ra khỏi chai","Вытащи лодку из бутылки\n","Saca el bote de la botella","Sortez le bateau de la bouteille","ボートをボトルから取り出します","병에서 보트를 꺼내십시오.","นำเรือออกจากขวด","ﺔﺟﺎﺟﺰﻟا ﻦﻣ برﺎﻘﻟا جﺮﺧأ\n","把船从瓶子里拿出来","Tire o barco da garrafa","Nimm das Boot aus der Flasche","Porta la barca fuori dalla bottiglia","Keluarkan kapalnya dari botol","Tekneyi şişeden çıkarın",
"hint_level_131","Minimize the boat and turn the device upside down so the boat falls out","Thu nhỏ chiếc thuyền và dốc ngược thiết bị để thuyền rơi ra ngoài","Минимизируйте лодку и переверните устройство вверх дном, чтобы лодка выпала","Minimice el bote y ponga el dispositivo boca abajo para que el bote se caiga","Minimisez le bateau et retournez l'appareil pour que le bateau tombe","ボートを最小化し、デバイスが逆さまになるようにして、ボートが落下するようにします","보트를 최소화하고 보트가 빠지도록 장치를 뒤집어 놓습니다.","ย่อเล็กสุดเรือและคว่ำอุปกรณ์คว่ำเพื่อให้เรือตก","برﺎﻘﻟا ﻂﻘﺴﻳ ﯽﺘﺣ ﺐﻘﻋ ﯽﻠﻋ ﺎًﺳأر زﺎﻬﺠﻟا ﺐﻠﻗو برﺎﻘﻟا ﺮﻴﻐﺼﺘﺑ ﻢﻗ\n","最小化船，并将设备上下颠倒，以使船掉出","Minimize o barco e vire o dispositivo de cabeça para baixo para que o barco caia","Minimieren Sie das Boot und drehen Sie das Gerät auf den Kopf, damit das Boot herausfällt","Ridurre a icona la barca e capovolgere il dispositivo in modo che la barca cada","Minimalkan perahu dan balikkan perangkat agar kapal terjatuh","Tekneyi küçültün ve tekne düşecek şekilde cihazı ters çevirin",
"tips_level_131","You are so devious !!","Bạn thật ranh ma!!","Ты такой коварный !!\n","Eres tan tortuosa !!","Tu es tellement sournois !!","あなたはとても不正です!!","당신은 너무 사악합니다!","คุณเป็นคนคดเคี้ยวมาก !!","!! اﺪﺟ غواﺮﻣ ﺖﻧأ\n","你太狡猾了！\n","Você é tão desonesto !!","Du bist so hinterhältig !!","Sei così subdolo !!","Kamu sangat licik !!","Çok küstahsın !!",
"ques_level_133","Throw the ball in the basket","Hãy ném bóng vào rổ","Бросить мяч в корзину\n","Tira la pelota en la canasta","Lancer la balle dans le panier","バスケットにボールを投げる","바구니에 공을 던져","โยนลูกบอลลงในตะกร้า","ﺔﻠﺴﻟا ﻲﻓ ةﺮﻜﻟا ﻲﻣرا\n","将球扔进篮筐","Jogue a bola na cesta","Wirf den Ball in den Korb","Lancia la palla nel canestro","Lempar bola ke keranjang","Topu sepete at",
"hint_level_133","Tilt the device to control the ball. Good luck!","Hãy nghiêng thiết bị để điều khiển quả bóng nhé. Chúc bạn thành công!","Наклоните устройство для управления мячом. Удачи!\n","Incline el dispositivo para controlar la pelota. ¡Buena suerte!","Inclinez l'appareil pour contrôler le ballon. Bonne chance!","デバイスを傾けてボールを制御します。 幸運を！","공을 제어하기 위해 장치를 기울입니다. 행운을 빕니다!","เอียงอุปกรณ์เพื่อควบคุมลูกบอล โชคดี!","!اﺪﻴﻌﺳ ﺎﻈﺣ .ةﺮﻜﻟا ﻲﻓ ﻢﻜﺤﺘﻠﻟ زﺎﻬﺠﻟا ﺔﻟﺎﻣﺈﺑ ﻢﻗ\n","倾斜设备以控制球。 祝好运！","Incline o dispositivo para controlar a bola. Boa sorte!","Kippen Sie das Gerät, um den Ball zu steuern. Viel Glück!","Inclinare il dispositivo per controllare la palla. In bocca al lupo!","Miringkan perangkat untuk mengontrol bola. Semoga berhasil!","Topu kontrol etmek için cihazı yatırın. İyi şanslar!",
"tips_level_133","You are truly a skilled player!","Bạn thật là người chơi có kỹ năng!","Вы действительно опытный игрок!\n","¡Eres realmente un jugador habilidoso!","Vous êtes vraiment un joueur habile!","あなたは本当に熟練したプレーヤーです！","당신은 진정으로 숙련 된 선수입니다!","คุณเป็นผู้เล่นที่มีทักษะอย่างแท้จริง!","!ﺮﻫﺎﻣ ﺐﻋﻻ ﺎﻘﺣ ﺖﻧأ","您确实是一个熟练的球员！","Você é realmente um jogador habilidoso!","Du bist wirklich ein erfahrener Spieler!","Sei davvero un giocatore abile!","Anda benar-benar pemain yang terampil!","Gerçekten yetenekli bir oyuncusun!",
"ques_level_134","So dim! How to see clearly now","Mờ quá! Làm sao để nhìn rõ bây giờ","Так тускло! Как ясно видеть сейчас\n","Tan tenue! Cómo ver claramente ahora","Tellement sombre! Comment voir clairement maintenant","とても薄暗い！ 今はっきりと見る方法","너무 어둡습니다! 지금 명확하게 보는 방법","สลัวมาก! วิธีการดูอย่างชัดเจนในขณะนี้","نﻵا حﻮﺿﻮﺑ ىﺮﺗ ﻒﻴﻛ !اﺪﺟ ﺖﻓﺎﺧ\n","太暗了！ 现在怎么看清楚\n","Tão escuro! Como ver claramente agora","So dunkel! Wie man jetzt klar sieht","Così fioco! Come vedere chiaramente ora","Sangat redup! Cara melihat dengan jelas sekarang","Loş! Şimdi nasıl net bir şekilde görülebilir?",
"hint_level_134","Take the towel from your pocket to wipe your glasses","Hãy lấy chiếc khăn trong túi áo để lau kính mắt nhé","Возьмите полотенце из кармана, чтобы вытереть очки\n","Saca la toalla de tu bolsillo para limpiar tus lentes","Sortez la serviette de votre poche pour essuyer vos lunettes","ポケットからタオルを取り出してメガネを拭きます","주머니에서 수건을 꺼내 안경을 닦으십시오","นำผ้าเช็ดตัวออกจากกระเป๋าของคุณเพื่อเช็ดแว่นตา","ﻚﺗرﺎﻈﻧ ﺢﺴﻤﻟ ﻚﺒﻴﺟ ﻦﻣ ﺔﻔﺸﻨﻤﻟا ﺬﺧ\n","从口袋里拿出毛巾擦拭眼镜\n","Pegue a toalha do seu bolso para limpar os óculos","Nehmen Sie das Handtuch aus der Tasche, um Ihre Brille abzuwischen","Prendi l'asciugamano dalla tasca per pulire gli occhiali","Ambil handuk dari sakumu untuk membersihkan kacamatamu","Gözlüklerinizi silmek için havluyu cebinizden alın",
"tips_level_134","Myopia is miserable! Huhu","Bị cận thị thật là khổ! Huhu","Близорукость несчастна! Хуху\n","¡La miopía es miserable! Huhu","La myopie est misérable! Huhu","近視は悲惨です！ フフ","근시는 비참하다! 후후\n","สายตาสั้นมีความสุข! huhu","Huhu !ﺲﺋﺎﺑ ﺮﻈﻨﻟا ﺮﺼﻗ\n","近视是痛苦的！ hu","A miopia é miserável! Huhu","Myopie ist miserabel! Huhu","La miopia è miserabile! Huhu","Miopia menyedihkan! Hu hu","Miyopi sefil! Huhu",
"ques_level_135","Collect diamonds","Hãy thu thập kim cương","Собирать алмазы\n","Recoger diamantes","Collectez des diamants","ダイヤモンドを集める","다이아몬드를 수집","เก็บเพชร\n","سﺎﻤﻟا ﻊﻤﺟا\n","收集钻石","Colete diamantes","Sammle Diamanten","Colleziona diamanti","Kumpulkan berlian","Elmasları topla",
"hint_level_135","Don't forget to left, right and a diamond is in your pocket","Đừng quên đi sang trái, sang phải và 1 viên kim cương đang nằm sẵn trong túi nhé","Не забудьте налево, направо и бриллиант у вас в кармане\n","No te olvides de izquierda, derecha y un diamante está en tu bolsillo","N'oubliez pas à gauche, à droite et un diamant est dans votre poche","忘れずに左、右、ポケットにダイヤモンドを入れてください","왼쪽, 오른쪽 및 다이아몬드가 주머니에 있다는 것을 잊지 마십시오.","อย่าลืมซ้ายขวาและเพชรอยู่ในกระเป๋าของคุณ","ﻚﺒﻴﺟ ﻲﻓ سﺎﻤﻟاو ﻦﻴﻤﻴﻟاو رﺎﺴﻴﻟا نأ ﺲﻨﺗ ﻻ","别忘了向左，向右，口袋里有一颗钻石","Não se esqueça de esquerda, direita e um diamante está no seu bolso","Vergiss nicht nach links, rechts und ein Diamant ist in deiner Tasche","Non dimenticare di sinistra, destra e un diamante è in tasca","Jangan lupa ke kiri, kanan dan berlian ada di saku And","Sola, sağa ve elmasın cebinde olduğunu unutma",
"tips_level_135","So rich  !!! Hahaha","Lại giàu to rồi!!!Hahaha","Такой богатый !!! Хахаха\n","Tan rico  !!! jajaja","Si riche !!! hahaha","とても裕福  ！！！ ハハハ","너무 부자! 하하하\n","รวยจัง !!! ฮ่า ๆ ๆ ๆ\n","ﺎﻫ ﺎﻫ ﺎﻫ ﺎﻫ !!!  اﺪﺟ ﻲﻨﻏ","太丰富了！ 哈哈哈","Tão rico  !!! Hahaha","So reich  !!! hahaha","Così ricco  !!! Hahaha","Sangat kaya  !!! Ha ha ha","Çok zengin  !!! Hahaha",
"ques_level_136","What will you rescue?","Bạn sẽ cứu những gì đây","Что вы спасете?","¿Qué vas a rescatar?","Que sauverez-vous?","あなたは何を救いますか？","무엇을 구출 하시겠습니까?\n","คุณจะช่วยชีวิตอะไร","؟ﺬﻘﻨﺘﺳ اذﺎﻣ\n","你会救什么？","O que você vai resgatar?","Was wirst du retten?","Cosa salverai?","Apa yang akan Anda selamatkan?","Ne kurtaracaksın?",
"hint_level_136","Click on all 3 to rescue all 3","Ấn vào cả 3 để cứu cả 3","Нажмите на все 3, чтобы спасти все 3","Haga clic en los 3 para rescatar a los 3","Cliquez sur les 3 pour sauver les 3","3つすべてをクリックして、3つすべてをレスキューします","3을 모두 클릭하여 3을 모두 구출하십시오.","คลิกที่ทั้ง 3 เพื่อช่วยเหลือทั้ง 3","3 ﻞﻜﻟا ذﺎﻘﻧﻹ 3 ﻞﻜﻟا ﯽﻠﻋ ﺮﻘﻧا\n","单击所有3来拯救所有3","Clique nos 3 para resgatar todos os 3","Klicken Sie auf alle 3, um alle 3 zu retten","Fai clic su tutti e 3 per salvare tutti e 3","Klik pada semua 3 untuk menyelamatkan semua 3","3 kurtarmak için tüm 3 tıklayın",
"tips_level_136","You are so perfect!!!","Bạn thật hoàn hảo!!!","Ты так идеальна!!!","Eres tan perfecta !!!","Vous êtes tellement parfait!!!","あなたはとても完璧です!!!","당신은 정말 완벽하다!!!","คุณสมบูรณ์แบบมาก !!!","!!!اﺪﺟ ﻲﻟﺎﺜﻣ ﺖﻧأ","你真完美！！！","Você é tão perfeito!!!","Du bist so Perfekt!!!","Sei così perfetto!!!","Kau begitu sempurna!!!","Çok süpersin!!!",
"ques_level_126","How do you win this boxing match","Làm sao để bạn thắng được trận đấu quyền anh này","Как вы выиграли этот боксерский матч","¿Cómo ganas este combate de boxeo?","Comment gagnez-vous ce match de boxe","このボクシングの試合で勝つ方法は？","이 권투 시합에서 어떻게이기나요","คุณชนะการแข่งขันมวยครั้งนี้ได้อย่างไร","ﺬﻫ ﺔﻤﻛﻼﻤﻟا ةارﺎﺒﻣ ﺐﺴﻜﺗ ﻒﻴﻛ","您如何赢得这场拳击比赛","Como você vence esta luta de boxe","Wie gewinnt man diesen Boxkampf?","Come si vince questo incontro di boxe","Bagaimana Anda memenangkan pertandingan tinju ini","Bu boks maçını nasıl kazanırsınız?",
"hint_level_126","Move "" You "" to the big guy and you'll be him! haha","Di chuyển chứ ""Bạn"" sang phía bên anh chàng to lớn và bạn sẽ là anh ta! haha","Переместите ""Ты"" к большому парню, и ты станешь им! ха-ха","¡Mueve "" Tú "" al tipo grande y serás él! jaja","Déplacez "" Vous "" vers le grand gars et vous serez lui! haha","""あなた""を大きな男に移動すると、あなたは彼になります！ 笑","큰 사람에게 ""당신 ""을 이동하면 당신은 그를 할 수 있습니다! ㅋ","ย้าย "" คุณ"" ไปที่ชายร่างใหญ่และคุณจะเป็นเขา! ฮ่าฮ่า","ﺎﻫﺎﻫ !ﻮﻫ نﻮﻜﺘﺳو ﺮﻴﺒﻜﻟا ﻞﺟﺮﻟا ﯽﻟإ ""نأ""ﻞﻘﻧا","将““ 您”“移到大个子上，您将成为他！哈哈","Mova "" Você "" para o grandalhão e você será ele! haha","Bewegen Sie "" Sie "" zu dem großen Kerl und Sie werden er sein! Haha","Sposta "" Tu "" nel ragazzo grande e sarai lui! haha","Pindahkan "" Kamu "" ke pria besar dan kamu akan menjadi dia! ha ha",""" Sen "" i büyük adama götür, sen de o olacaksın! haha",
"tips_level_126","Knock out !!!","Nốc ao luôn!!!","Выбить !!!","Knockear !!!","Assommer !!!","ノックアウト ！！！","노크 !!!","น็อกคู่ต่อสู้ !!!","!!! بﺮﺿ","昏死 ！！！","Nocaute !!!","Schlagen !!!","Tramortire !!!","Hancurkan !!!","Nakavt !!!",
"ques_level_137","How to calculate correctly","Làm sao để được phép tính đúng","Как правильно рассчитать\n","Cómo calcular correctamente","Comment calculer correctement\n","正しく計算する方法\n","올바르게 계산하는 방법\n","วิธีการคำนวณให้ถูกต้อง\n","ﺢﻴﺤﺻ ﻞﻜﺸﺑ ﺐﺴﺤﺗ ﻒﻴﻛ\n","如何正确计算\n","Como calcular corretamente\n","Wie man richtig berechnet\n","Come calcolare correttamente\n","Cara menghitung dengan benar\n","Doğru nasıl hesaplanır\n",
